EmpId,InTime,OutTime
1,10/06/2018 09:00:00 AM,10/06/2018 07:11:00 PM
2,10/06/2018 09:00:00 AM,10/06/2018 07:11:00 PM
3,10/06/2018 09:00:00 AM,10/06/2018 07:11:00 PM
4,10/06/2018 09:00:00 AM,10/06/2018 07:11:00 PM
6,10/06/2018 09:00:00 AM,10/06/2018 07:00:00 PM
1,09/06/2018 09:00:00 AM,09/06/2018 07:00:00 PM
2,09/06/2018 09:00:00 AM,09/06/2018 07:00:00 PM
3,09/06/2018 09:00:00 AM,09/06/2018 07:00:00 PM
4,09/06/2018 09:00:00 AM,09/06/2018 07:00:00 PM
5,09/06/2018 09:00:00 AM,09/06/2018 07:00:00 PM
2,08/06/2018 09:00:00 AM,08/06/2018 07:22:00 PM
3,08/06/2018 09:00:00 AM,
4,08/06/2018 09:00:00 AM,08/06/2018 07:22:00 PM
5,08/06/2018 09:00:00 AM,08/06/2018 07:22:00 PM
6,08/06/2018 09:00:00 AM,08/06/2018 07:00:00 PM
1,07/06/2018 09:30:00 AM,07/06/2018 07:22:00 PM
2,07/06/2018 09:00:00 AM,07/06/2018 07:22:00 PM
3,07/06/2018 09:00:00 AM,07/06/2018 07:22:00 PM
4,07/06/2018 09:00:00 AM,07/06/2018 07:22:00 PM
5,07/06/2018 09:00:00 AM,07/06/2018 07:22:00 PM
6,07/06/2018 09:00:00 AM,07/06/2018 07:22:00 PM
1,06/06/2018 09:30:00 AM,06/06/2018 07:22:00 PM
2,06/06/2018 09:30:00 AM,06/06/2018 07:22:00 PM
4,06/06/2018 09:30:00 AM,06/06/2018 07:22:00 PM
6,06/06/2018 09:30:00 AM,06/06/2018 07:22:00 PM
2,05/06/2018 09:30:00 AM,05/06/2018 07:22:00 PM
3,05/06/2018 09:30:00 AM,
4,05/06/2018 09:30:00 AM,05/06/2018 07:22:00 PM
5,05/06/2018 09:30:00 AM,05/06/2018 07:22:00 PM
6,05/06/2018 09:30:00 AM,05/06/2018 07:22:00 PM
1,05/06/2018 09:00:00 AM,05/06/2018 07:00:00 PM
2,04/06/2018 11:00:00 AM,04/06/2018 02:00:00 PM
3,04/06/2018 11:00:00 AM,04/06/2018 02:00:00 PM
4,04/06/2018 09:00:00 AM,04/06/2018 07:00:00 PM
5,04/06/2018 09:00:00 AM,04/06/2018 07:00:00 PM
6,04/06/2018 09:00:00 AM,04/06/2018 07:00:00 PM
5,03/06/2018 11:00:00 AM,03/06/2018 02:00:00 PM
6,03/06/2018 11:00:00 AM,03/06/2018 02:00:00 PM
1,03/06/2018 09:00:00 AM,03/06/2018 07:00:00 PM
2,03/06/2018 09:00:00 AM,03/06/2018 07:00:00 PM
3,03/06/2018 09:00:00 AM,03/06/2018 07:00:00 PM
4,03/06/2018 09:00:00 AM,03/06/2018 07:00:00 PM
3,02/06/2018 11:00:00 AM,02/06/2018 05:00:00 PM
4,02/06/2018 11:00:00 AM,02/06/2018 05:00:00 PM
5,02/06/2018 11:00:00 AM,02/06/2018 05:00:00 PM
6,02/06/2018 11:00:00 AM,02/06/2018 05:00:00 PM
1,02/06/2018 09:00:00 AM,02/06/2018 07:00:00 PM
2,02/06/2018 09:00:00 AM,02/06/2018 07:00:00 PM
1,01/06/2018 10:00:00 AM,01/06/2018 04:00:00 PM
2,01/06/2018 10:00:00 AM,01/06/2018 04:00:00 PM
3,01/06/2018 10:00:00 AM,01/06/2018 04:00:00 PM
4,01/06/2018 10:00:00 AM,01/06/2018 04:00:00 PM
5,01/06/2018 10:00:00 AM,01/06/2018 04:00:00 PM
6,01/06/2018 09:00:00 AM,01/06/2018 07:00:00 PM
3,,06/06/2018 07:22:00 PM
5,,10/06/2018 07:00:00 PM
1,31/05/2018 10:00:00 AM,31/05/2018 04:00:00 PM
2,31/05/2018 10:00:00 AM,31/05/2018 04:00:00 PM
3,31/05/2018 10:00:00 AM,31/05/2018 04:00:00 PM
4,31/05/2018 10:00:00 AM,31/05/2018 04:00:00 PM
5,31/05/2018 10:00:00 AM,31/05/2018 04:00:00 PM
6,31/05/2018 09:00:00 AM,31/05/2018 07:00:00 PM

