EmpId,InTime,OutTime
1,11/06/2018 10:00:00 AM,11/06/2018 04:00:00 PM
2,11/06/2018 10:00:00 AM,11/06/2018 04:00:00 PM
3,11/06/2018 10:00:00 AM,11/06/2018 04:00:00 PM
4,11/06/2018 10:00:00 AM,11/06/2018 04:00:00 PM
5,11/06/2018 10:00:00 AM,11/06/2018 04:00:00 PM
6,11/06/2018 09:00:00 AM,11/06/2018 07:00:00 PM
1,12/06/2018 09:00:00 AM,12/06/2018 07:00:00 PM
2,12/06/2018 09:00:00 AM,12/06/2018 07:00:00 PM
3,12/06/2018 11:00:00 AM,12/06/2018 05:00:00 PM
4,12/06/2018 11:00:00 AM,12/06/2018 05:00:00 PM
5,12/06/2018 11:00:00 AM,12/06/2018 05:00:00 PM
6,12/06/2018 11:00:00 AM,12/06/2018 05:00:00 PM
1,13/06/2018 09:00:00 AM,13/06/2018 07:00:00 PM
2,13/06/2018 09:00:00 AM,13/06/2018 07:00:00 PM
3,13/06/2018 09:00:00 AM,13/06/2018 07:00:00 PM
4,13/06/2018 09:00:00 AM,13/06/2018 07:00:00 PM
5,13/06/2018 11:00:00 AM,13/06/2018 02:00:00 PM
6,13/06/2018 11:00:00 AM,13/06/2018 02:00:00 PM
2,14/06/2018 11:00:00 AM,14/06/2018 02:00:00 PM
3,14/06/2018 11:00:00 AM,14/06/2018 02:00:00 PM
4,14/06/2018 09:00:00 AM,14/06/2018 07:00:00 PM
5,14/06/2018 09:00:00 AM,14/06/2018 07:00:00 PM
6,14/06/2018 09:00:00 AM,14/06/2018 07:00:00 PM
1,15/06/2018 09:00:00 AM,15/06/2018 07:00:00 PM
2,15/06/2018 09:30:00 AM,15/06/2018 07:22:00 PM
3,15/06/2018 09:30:00 AM,15/06/2018 07:22:00 PM
4,15/06/2018 09:30:00 AM,15/06/2018 07:22:00 PM
5,15/06/2018 09:30:00 AM,15/06/2018 07:22:00 PM
6,15/06/2018 09:30:00 AM,15/06/2018 07:22:00 PM
1,16/06/2018 09:30:00 AM,16/06/2018 07:22:00 PM
2,16/06/2018 09:30:00 AM,16/06/2018 07:22:00 PM
3,,16/06/2018 07:22:00 PM
4,16/06/2018 09:30:00 AM,16/06/2018 07:22:00 PM
6,16/06/2018 09:30:00 AM,16/06/2018 07:22:00 PM
1,17/06/2018 09:30:00 AM,17/06/2018 07:22:00 PM
2,17/06/2018 09:00:00 AM,17/06/2018 07:22:00 PM
3,17/06/2018 09:00:00 AM,17/06/2018 07:22:00 PM
4,17/06/2018 09:00:00 AM,17/06/2018 07:22:00 PM
5,17/06/2018 09:00:00 AM,17/06/2018 07:22:00 PM
6,17/06/2018 09:00:00 AM,17/06/2018 07:22:00 PM
2,18/06/2018 09:00:00 AM,18/06/2018 07:22:00 PM
3,18/06/2018 09:00:00 AM,18/06/2018 07:22:00 PM
1,,
4,18/06/2018 09:00:00 AM,18/06/2018 07:22:00 PM
5,18/06/2018 09:00:00 AM,18/06/2018 07:22:00 PM
6,18/06/2018 09:00:00 AM,18/06/2018 07:00:00 PM
1,19/06/2018 09:00:00 AM,19/06/2018 07:00:00 PM
2,19/06/2018 09:00:00 AM,19/06/2018 07:00:00 PM
3,19/06/2018 09:00:00 AM,19/06/2018 07:00:00 PM
4,19/06/2018 09:00:00 AM,19/06/2018 07:00:00 PM
5,19/06/2018 09:00:00 AM,19/06/2018 07:00:00 PM
1,20/06/2018 09:00:00 AM,20/06/2018 07:11:00 PM
2,20/06/2018 09:00:00 AM,20/06/2018 07:11:00 PM
3,20/06/2018 09:00:00 AM,20/06/2018 07:11:00 PM
4,20/06/2018 09:00:00 AM,20/06/2018 07:11:00 PM
5,20/06/2018 09:00:00 AM,20/06/2018 07:00:00 PM
6,20/06/2018 09:00:00 AM,20/06/2018 07:00:00 PM

